,Order,AIC,BIC
0,"(0, 0, 0, 0, 0, 0, 20)",8283.212589222729,8287.621118013789
1,"(0, 0, 0, 0, 0, 1, 20)",7758.831593497744,7767.5816431374
2,"(0, 0, 0, 0, 1, 0, 20)",7572.019715351662,7576.39474017149
3,"(0, 0, 0, 0, 1, 1, 20)",7126.639287619941,7135.320006227396
4,"(0, 0, 0, 1, 0, 0, 20)",7504.552151059669,7513.305604955466
5,"(0, 0, 0, 1, 0, 1, 20)",7370.720950811802,7383.846025271287
6,"(0, 0, 0, 1, 1, 0, 20)",7239.0942784901845,7247.778521327627
7,"(0, 0, 0, 1, 1, 1, 20)",7108.085803351376,7121.106881262559
8,"(0, 0, 1, 0, 0, 0, 20)",7790.051700750936,7798.865460723075
9,"(0, 0, 1, 0, 0, 1, 20)",7396.16491565544,7409.284875024171
10,"(0, 0, 1, 0, 1, 0, 20)",7369.539159704216,7378.285799283371
11,"(0, 0, 1, 0, 1, 1, 20)",6874.9557333045595,6887.971515539169
12,"(0, 0, 1, 1, 0, 0, 20)",7281.004399761303,7294.1345806049985
13,"(0, 0, 1, 1, 0, 1, 20)",7111.601269423889,7129.094548582197
14,"(0, 0, 1, 1, 1, 0, 20)",7040.003480716656,7053.029844972819
15,"(0, 0, 1, 1, 1, 1, 20)",6871.484548559488,6888.838924872301
16,"(0, 1, 0, 0, 0, 0, 20)",7246.415157145698,7250.8220371317675
17,"(0, 1, 0, 0, 0, 1, 20)",7022.067734611893,7030.814374191047
18,"(0, 1, 0, 0, 1, 0, 20)",7396.017582502168,7400.390902291745
19,"(0, 1, 0, 0, 1, 1, 20)",6836.958892883276,6845.636081039683
20,"(0, 1, 0, 1, 0, 0, 20)",7033.402964807327,7042.153014446983
21,"(0, 1, 0, 1, 0, 1, 20)",7024.0562480947665,7037.176207463497
22,"(0, 1, 0, 1, 1, 0, 20)",7035.497715687047,7044.178434294503
23,"(0, 1, 0, 1, 1, 1, 20)",6838.6290786620475,6851.644860896657
24,"(0, 1, 1, 0, 0, 0, 20)",7167.12660844633,7175.937065362391
25,"(0, 1, 1, 0, 0, 1, 20)",6942.983352842809,6956.098188384504
26,"(0, 1, 1, 0, 1, 0, 20)",7301.779678699913,7310.522902394377
27,"(0, 1, 1, 0, 1, 1, 20)",6763.010316022998,6776.020793216438
28,"(0, 1, 1, 1, 0, 0, 20)",6966.006233910155,6979.13130836964
29,"(0, 1, 1, 1, 0, 1, 20)",6944.917434703912,6962.403882092839
30,"(0, 1, 1, 1, 1, 0, 20)",6958.8421860530625,6971.863263964246
31,"(0, 1, 1, 1, 1, 1, 20)",6763.9513875660505,6781.298690490637
32,"(1, 0, 0, 0, 0, 0, 20)",7230.5627183132,7239.379775895319
33,"(1, 0, 0, 0, 0, 1, 20)",7003.195655675848,7016.320730135332
34,"(1, 0, 0, 0, 1, 0, 20)",7287.068199728337,7295.818249367993
35,"(1, 0, 0, 0, 1, 1, 20)",6756.489383025853,6769.510460937036
36,"(1, 0, 0, 1, 0, 0, 20)",7002.861472270053,7015.986546729538
37,"(1, 0, 0, 1, 0, 1, 20)",6985.938262733031,7003.438362012343
38,"(1, 0, 0, 1, 1, 0, 20)",6926.891346314565,6939.9124242257485
39,"(1, 0, 0, 1, 1, 1, 20)",6757.136279362587,6774.497716577498
40,"(1, 0, 1, 0, 0, 0, 20)",7173.531162054964,7186.751802013172
41,"(1, 0, 1, 0, 0, 1, 20)",6948.833024918312,6966.32630407662
42,"(1, 0, 1, 0, 1, 0, 20)",7268.17327635909,7281.2932357278205
43,"(1, 0, 1, 0, 1, 1, 20)",6740.52011698582,6757.874493298633
44,"(1, 0, 1, 1, 0, 0, 20)",6959.863578142618,6977.36367742193
45,"(1, 0, 1, 1, 0, 1, 20)",6950.619103701648,6972.485702649533
46,"(1, 0, 1, 1, 1, 0, 20)",6921.1871274878395,6938.548564702751
47,"(1, 0, 1, 1, 1, 1, 20)",6740.809208946224,6762.50217933724
48,"(1, 1, 0, 0, 0, 0, 20)",7217.090098920184,7225.903858892322
49,"(1, 1, 0, 0, 0, 1, 20)",6992.470488218796,7005.590447587527
50,"(1, 1, 0, 0, 1, 0, 20)",7353.213144173065,7361.95978375222
51,"(1, 1, 0, 0, 1, 1, 20)",6810.287435409921,6823.30321764453
52,"(1, 1, 0, 1, 0, 0, 20)",6992.539240658965,7005.659200027696
53,"(1, 1, 0, 1, 0, 1, 20)",6994.46357223304,7011.956851391348
54,"(1, 1, 0, 1, 1, 0, 20)",6988.86374168553,7001.879523920139
55,"(1, 1, 0, 1, 1, 1, 20)",6811.349385504425,6828.703761817238
56,"(1, 1, 1, 0, 0, 0, 20)",7115.062240801971,7128.277926176063
57,"(1, 1, 1, 0, 0, 1, 20)",6895.003066999465,6912.489514388392
58,"(1, 1, 1, 0, 1, 0, 20)",7272.968968210369,7286.083803752064
59,"(1, 1, 1, 0, 1, 1, 20)",6715.4164100713115,6732.763712995898
60,"(1, 1, 1, 1, 0, 0, 20)",6905.852977979786,6923.346257138094
61,"(1, 1, 1, 1, 0, 1, 20)",6896.998874609993,6918.856933846153
62,"(1, 1, 1, 1, 1, 0, 20)",6908.3185579099645,6925.672934222777
63,"(1, 1, 1, 1, 1, 1, 20)",6717.287832193245,6738.971960848977
