,dt_day,total_activity
0,2021-01-01,156.0
1,2021-01-02,84.0
2,2021-01-03,113.0
3,2021-01-04,155.0
4,2021-01-05,158.0
5,2021-01-06,104.0
6,2021-01-07,132.0
7,2021-01-08,110.0
8,2021-01-09,64.0
9,2021-01-10,118.0
10,2021-01-11,69.0
11,2021-01-12,101.0
12,2021-01-13,94.0
13,2021-01-14,74.0
14,2021-01-15,159.0
15,2021-01-16,102.0
16,2021-01-17,90.0
17,2021-01-18,94.0
18,2021-01-19,88.0
19,2021-01-20,91.0
20,2021-01-21,46.0
21,2021-01-22,75.0
22,2021-01-23,87.0
23,2021-01-24,77.0
24,2021-01-25,65.0
25,2021-01-26,87.0
26,2021-01-27,102.0
27,2021-01-28,83.0
28,2021-01-29,127.0
29,2021-01-30,79.0
30,2021-01-31,73.0
31,2021-02-01,134.0
32,2021-02-02,114.0
33,2021-02-03,77.0
34,2021-02-04,115.0
35,2021-02-05,113.0
36,2021-02-06,88.0
37,2021-02-07,61.0
38,2021-02-08,104.0
39,2021-02-09,75.0
40,2021-02-10,121.0
41,2021-02-11,84.0
42,2021-02-12,
43,2021-02-13,115.0
44,2021-02-14,152.0
45,2021-02-15,98.0
46,2021-02-16,106.0
47,2021-02-17,110.0
48,2021-02-18,98.0
49,2021-02-19,124.0
50,2021-02-20,57.0
51,2021-02-21,68.0
52,2021-02-22,28.0
53,2021-02-23,99.0
54,2021-02-24,96.0
55,2021-02-25,111.0
56,2021-02-26,145.0
57,2021-02-27,69.0
58,2021-02-28,157.0
59,2021-03-01,109.0
60,2021-03-02,123.0
61,2021-03-03,129.0
62,2021-03-04,100.0
63,2021-03-05,159.0
64,2021-03-06,219.0
65,2021-03-07,193.0
66,2021-03-08,124.0
67,2021-03-09,96.0
68,2021-03-10,145.0
69,2021-03-11,122.0
70,2021-03-12,108.0
71,2021-03-13,128.0
72,2021-03-14,129.0
73,2021-03-15,72.0
74,2021-03-16,112.0
75,2021-03-17,147.0
76,2021-03-18,87.0
77,2021-03-19,136.0
78,2021-03-20,130.0
79,2021-03-21,125.0
80,2021-03-22,97.0
81,2021-03-23,45.0
82,2021-03-24,79.0
83,2021-03-25,116.0
84,2021-03-26,131.0
85,2021-03-27,121.0
86,2021-03-28,159.0
87,2021-03-29,173.0
88,2021-03-30,130.0
89,2021-03-31,186.0
90,2021-04-01,122.0
91,2021-04-02,147.0
92,2021-04-03,192.0
93,2021-04-04,142.0
94,2021-04-05,111.0
95,2021-04-06,119.0
96,2021-04-07,59.0
97,2021-04-08,138.0
98,2021-04-09,109.0
99,2021-04-10,161.0
100,2021-04-11,151.0
101,2021-04-12,157.0
102,2021-04-13,150.0
103,2021-04-14,78.0
104,2021-04-15,129.0
105,2021-04-16,146.0
106,2021-04-17,199.0
107,2021-04-18,134.0
108,2021-04-19,138.0
109,2021-04-20,160.0
110,2021-04-21,171.0
111,2021-04-22,173.0
112,2021-04-23,185.0
113,2021-04-24,135.0
114,2021-04-25,237.0
115,2021-04-26,167.0
116,2021-04-27,95.0
117,2021-04-28,84.0
118,2021-04-29,97.0
119,2021-04-30,107.0
120,2021-05-01,56.0
121,2021-05-02,113.0
122,2021-05-03,91.0
123,2021-05-04,108.0
124,2021-05-05,80.0
125,2021-05-06,66.0
126,2021-05-07,107.0
127,2021-05-08,66.0
128,2021-05-09,41.0
129,2021-05-10,98.0
130,2021-05-11,103.0
131,2021-05-12,115.0
132,2021-05-13,101.0
133,2021-05-14,113.0
134,2021-05-15,99.0
135,2021-05-16,107.0
136,2021-05-17,154.0
137,2021-05-18,91.0
138,2021-05-19,156.0
139,2021-05-20,117.0
140,2021-05-21,166.0
141,2021-05-22,139.0
142,2021-05-23,122.0
143,2021-05-24,125.0
144,2021-05-25,64.0
145,2021-05-26,155.0
146,2021-05-27,134.0
147,2021-05-28,176.0
148,2021-05-29,94.0
149,2021-05-30,108.0
150,2021-05-31,136.0
151,2021-06-01,88.0
152,2021-06-02,98.0
153,2021-06-03,154.0
154,2021-06-04,110.0
155,2021-06-05,96.0
156,2021-06-06,115.0
157,2021-06-07,72.0
158,2021-06-08,157.0
159,2021-06-09,64.0
160,2021-06-10,118.0
161,2021-06-11,143.0
162,2021-06-12,96.0
163,2021-06-13,68.0
164,2021-06-14,103.0
165,2021-06-15,70.0
166,2021-06-16,85.0
167,2021-06-17,199.0
168,2021-06-18,88.0
169,2021-06-19,78.0
170,2021-06-20,101.0
171,2021-06-21,104.0
172,2021-06-22,65.0
173,2021-06-23,102.0
174,2021-06-24,101.0
175,2021-06-25,132.0
176,2021-06-26,114.0
177,2021-06-27,131.0
178,2021-06-28,131.0
179,2021-06-29,118.0
180,2021-06-30,82.0
181,2021-07-01,116.0
182,2021-07-02,101.0
183,2021-07-03,82.0
184,2021-07-04,92.0
185,2021-07-05,83.0
186,2021-07-06,98.0
187,2021-07-07,133.0
188,2021-07-08,179.0
189,2021-07-09,71.0
190,2021-07-10,117.0
191,2021-07-11,132.0
192,2021-07-12,117.0
193,2021-07-13,77.0
194,2021-07-14,82.0
195,2021-07-15,130.0
196,2021-07-16,172.0
197,2021-07-17,218.0
198,2021-07-18,237.0
199,2021-07-19,118.0
200,2021-07-20,98.0
201,2021-07-21,91.0
202,2021-07-22,101.0
203,2021-07-23,78.0
204,2021-07-24,86.0
205,2021-07-25,102.0
206,2021-07-26,103.0
207,2021-07-27,146.0
208,2021-07-28,127.0
209,2021-07-29,81.0
210,2021-07-30,84.0
211,2021-07-31,64.0
212,2021-08-01,76.0
213,2021-08-02,89.0
214,2021-08-03,78.0
215,2021-08-04,131.0
216,2021-08-05,188.0
217,2021-08-06,208.0
218,2021-08-07,110.0
219,2021-08-08,95.0
220,2021-08-09,93.0
221,2021-08-10,101.0
222,2021-08-11,56.0
223,2021-08-12,75.0
224,2021-08-13,81.0
225,2021-08-14,57.0
226,2021-08-15,100.0
227,2021-08-16,142.0
228,2021-08-17,119.0
229,2021-08-18,164.0
230,2021-08-19,137.0
231,2021-08-20,101.0
232,2021-08-21,114.0
233,2021-08-22,79.0
234,2021-08-23,131.0
235,2021-08-24,90.0
236,2021-08-25,98.0
237,2021-08-26,141.0
238,2021-08-27,112.0
239,2021-08-28,108.0
240,2021-08-29,53.0
241,2021-08-30,107.0
242,2021-08-31,58.0
243,2021-09-01,111.0
244,2021-09-02,89.0
245,2021-09-03,49.0
246,2021-09-04,62.0
247,2021-09-05,75.0
248,2021-09-06,112.0
249,2021-09-07,101.0
250,2021-09-08,69.0
251,2021-09-09,117.0
252,2021-09-10,93.0
253,2021-09-11,117.0
254,2021-09-12,87.0
255,2021-09-13,60.0
256,2021-09-14,87.0
257,2021-09-15,72.0
258,2021-09-16,85.0
259,2021-09-17,118.0
260,2021-09-18,75.0
261,2021-09-19,53.0
262,2021-09-20,54.0
263,2021-09-21,114.0
264,2021-09-22,114.0
265,2021-09-23,110.0
266,2021-09-24,100.0
267,2021-09-25,41.0
268,2021-09-26,120.0
269,2021-09-27,104.0
270,2021-09-28,121.0
271,2021-09-29,167.0
272,2021-09-30,150.0
273,2021-10-01,129.0
274,2021-10-02,115.0
275,2021-10-03,112.0
276,2021-10-04,136.0
277,2021-10-05,122.0
278,2021-10-06,112.0
279,2021-10-07,104.0
280,2021-10-08,163.0
281,2021-10-09,107.0
282,2021-10-10,87.0
283,2021-10-11,94.0
284,2021-10-12,103.0
285,2021-10-13,135.0
286,2021-10-14,76.0
287,2021-10-15,65.0
288,2021-10-16,82.0
289,2021-10-17,87.0
290,2021-10-18,70.0
291,2021-10-19,92.0
292,2021-10-20,106.0
293,2021-10-21,92.0
294,2021-10-22,88.0
295,2021-10-23,113.0
296,2021-10-24,141.0
297,2021-10-25,129.0
298,2021-10-26,64.0
299,2021-10-27,108.0
300,2021-10-28,115.0
301,2021-10-29,97.0
302,2021-10-30,93.0
303,2021-10-31,61.0
304,2021-11-01,91.0
305,2021-11-02,134.0
306,2021-11-03,143.0
307,2021-11-04,82.0
308,2021-11-05,85.0
309,2021-11-06,127.0
310,2021-11-07,103.0
311,2021-11-08,241.0
312,2021-11-09,147.0
313,2021-11-10,112.0
314,2021-11-11,122.0
315,2021-11-12,113.0
316,2021-11-13,97.0
317,2021-11-14,112.0
318,2021-11-15,121.0
319,2021-11-16,101.0
320,2021-11-17,79.0
321,2021-11-18,134.0
322,2021-11-19,124.0
323,2021-11-20,78.0
324,2021-11-21,192.0
325,2021-11-22,157.0
326,2021-11-23,130.0
327,2021-11-24,114.0
328,2021-11-25,130.0
329,2021-11-26,68.0
330,2021-11-27,72.0
331,2021-11-28,88.0
332,2021-11-29,162.0
333,2021-11-30,109.0
334,2021-12-01,186.0
335,2021-12-02,161.0
336,2021-12-03,118.0
337,2021-12-04,117.0
338,2021-12-05,100.0
339,2021-12-06,132.0
340,2021-12-07,165.0
341,2021-12-08,154.0
342,2021-12-09,159.0
343,2021-12-10,94.0
344,2021-12-11,121.0
345,2021-12-12,152.0
346,2021-12-13,120.0
347,2021-12-14,113.0
348,2021-12-15,119.0
349,2021-12-16,163.0
350,2021-12-17,157.0
351,2021-12-18,102.0
352,2021-12-19,166.0
353,2021-12-20,175.0
354,2021-12-21,200.0
355,2021-12-22,168.0
356,2021-12-23,178.0
357,2021-12-24,130.0
358,2021-12-25,123.0
359,2021-12-26,157.0
360,2021-12-27,142.0
361,2021-12-28,201.0
362,2021-12-29,187.0
363,2021-12-30,191.0
364,2021-12-31,209.0
365,2022-01-01,195.0
366,2022-01-02,215.0
367,2022-01-03,302.0
368,2022-01-04,223.0
369,2022-01-05,158.0
370,2022-01-06,279.0
371,2022-01-07,223.0
372,2022-01-08,203.0
373,2022-01-09,174.0
374,2022-01-10,104.0
375,2022-01-11,192.0
376,2022-01-12,126.0
377,2022-01-13,140.0
378,2022-01-14,122.0
379,2022-01-15,122.0
380,2022-01-16,138.0
381,2022-01-17,211.0
382,2022-01-18,157.0
383,2022-01-19,180.0
384,2022-01-20,205.0
385,2022-01-21,150.0
386,2022-01-22,164.0
387,2022-01-23,210.0
388,2022-01-24,207.0
389,2022-01-25,114.0
390,2022-01-26,185.0
391,2022-01-27,98.0
392,2022-01-28,123.0
393,2022-01-29,145.0
394,2022-01-30,160.0
395,2022-01-31,165.0
396,2022-02-01,141.0
397,2022-02-02,151.0
398,2022-02-03,171.0
399,2022-02-04,117.0
400,2022-02-05,226.0
401,2022-02-06,159.0
402,2022-02-07,177.0
403,2022-02-08,158.0
404,2022-02-09,247.0
405,2022-02-10,186.0
406,2022-02-11,116.0
407,2022-02-12,72.0
408,2022-02-13,164.0
409,2022-02-14,139.0
410,2022-02-15,186.0
411,2022-02-16,183.0
412,2022-02-17,344.0
413,2022-02-18,145.0
414,2022-02-19,145.0
415,2022-02-20,131.0
416,2022-02-21,158.0
417,2022-02-22,121.0
418,2022-02-23,123.0
419,2022-02-24,153.0
420,2022-02-25,240.0
421,2022-02-26,225.0
422,2022-02-27,166.0
423,2022-02-28,202.0
424,2022-03-01,192.0
425,2022-03-02,168.0
426,2022-03-03,181.0
427,2022-03-04,209.0
428,2022-03-05,242.0
429,2022-03-06,215.0
430,2022-03-07,302.0
431,2022-03-08,227.0
432,2022-03-09,229.0
433,2022-03-10,197.0
434,2022-03-11,207.0
435,2022-03-12,270.0
436,2022-03-13,213.0
437,2022-03-14,184.0
438,2022-03-15,210.0
439,2022-03-16,192.0
440,2022-03-17,135.0
441,2022-03-18,179.0
442,2022-03-19,165.0
443,2022-03-20,230.0
444,2022-03-21,180.0
445,2022-03-22,328.0
446,2022-03-23,205.0
447,2022-03-24,328.0
448,2022-03-25,209.0
449,2022-03-26,227.0
450,2022-03-27,166.0
451,2022-03-28,211.0
452,2022-03-29,209.0
453,2022-03-30,231.0
454,2022-03-31,202.0
455,2022-04-01,203.0
456,2022-04-02,184.0
457,2022-04-03,276.0
458,2022-04-04,243.0
459,2022-04-05,271.0
460,2022-04-06,257.0
461,2022-04-07,208.0
462,2022-04-08,221.0
463,2022-04-09,144.0
464,2022-04-10,225.0
465,2022-04-11,145.0
466,2022-04-12,168.0
467,2022-04-13,114.0
468,2022-04-14,115.0
469,2022-04-15,139.0
470,2022-04-16,158.0
471,2022-04-17,234.0
472,2022-04-18,266.0
473,2022-04-19,165.0
474,2022-04-20,303.0
475,2022-04-21,209.0
476,2022-04-22,153.0
477,2022-04-23,186.0
478,2022-04-24,216.0
479,2022-04-25,175.0
480,2022-04-26,238.0
481,2022-04-27,227.0
482,2022-04-28,197.0
483,2022-04-29,136.0
484,2022-04-30,199.0
485,2022-05-01,167.0
486,2022-05-02,354.0
487,2022-05-03,227.0
488,2022-05-04,251.0
489,2022-05-05,220.0
490,2022-05-06,195.0
491,2022-05-07,124.0
492,2022-05-08,200.0
493,2022-05-09,154.0
494,2022-05-10,108.0
495,2022-05-11,126.0
496,2022-05-12,155.0
497,2022-05-13,220.0
498,2022-05-14,200.0
499,2022-05-15,221.0
500,2022-05-16,149.0
501,2022-05-17,145.0
502,2022-05-18,197.0
503,2022-05-19,206.0
504,2022-05-20,163.0
505,2022-05-21,125.0
506,2022-05-22,131.0
507,2022-05-23,140.0
508,2022-05-24,321.0
509,2022-05-25,230.0
510,2022-05-26,308.0
511,2022-05-27,224.0
512,2022-05-28,146.0
513,2022-05-29,165.0
514,2022-05-30,106.0
515,2022-05-31,131.0
516,2022-06-01,191.0
517,2022-06-02,237.0
518,2022-06-03,183.0
519,2022-06-04,158.0
520,2022-06-05,244.0
521,2022-06-06,239.0
522,2022-06-07,212.0
523,2022-06-08,139.0
524,2022-06-09,213.0
525,2022-06-10,211.0
526,2022-06-11,183.0
527,2022-06-12,146.0
528,2022-06-13,166.0
529,2022-06-14,168.0
530,2022-06-15,211.0
531,2022-06-16,160.0
532,2022-06-17,185.0
533,2022-06-18,163.0
534,2022-06-19,120.0
535,2022-06-20,208.0
536,2022-06-21,152.0
537,2022-06-22,134.0
538,2022-06-23,191.0
539,2022-06-24,201.0
540,2022-06-25,199.0
541,2022-06-26,243.0
542,2022-06-27,178.0
543,2022-06-28,179.0
544,2022-06-29,251.0
545,2022-06-30,224.0
546,2022-07-01,267.0
547,2022-07-02,93.0
548,2022-07-03,236.0
549,2022-07-04,299.0
550,2022-07-05,240.0
551,2022-07-06,220.0
552,2022-07-07,168.0
553,2022-07-08,294.0
554,2022-07-09,209.0
555,2022-07-10,200.0
556,2022-07-11,180.0
557,2022-07-12,322.0
558,2022-07-13,179.0
559,2022-07-14,201.0
560,2022-07-15,219.0
561,2022-07-16,162.0
562,2022-07-17,183.0
563,2022-07-18,181.0
564,2022-07-19,273.0
565,2022-07-20,200.0
566,2022-07-21,228.0
567,2022-07-22,290.0
568,2022-07-23,157.0
569,2022-07-24,167.0
570,2022-07-25,239.0
571,2022-07-26,234.0
572,2022-07-27,205.0
573,2022-07-28,257.0
574,2022-07-29,224.0
575,2022-07-30,189.0
576,2022-07-31,190.0
577,2022-08-01,260.0
578,2022-08-02,235.0
579,2022-08-03,204.0
580,2022-08-04,202.0
581,2022-08-05,183.0
582,2022-08-06,153.0
583,2022-08-07,172.0
584,2022-08-08,298.0
585,2022-08-09,302.0
586,2022-08-10,213.0
587,2022-08-11,192.0
588,2022-08-12,174.0
589,2022-08-13,248.0
590,2022-08-14,222.0
591,2022-08-15,309.0
592,2022-08-16,318.0
593,2022-08-17,213.0
594,2022-08-18,245.0
595,2022-08-19,184.0
596,2022-08-20,181.0
597,2022-08-21,201.0
598,2022-08-22,281.0
599,2022-08-23,200.0
600,2022-08-24,212.0
601,2022-08-25,274.0
602,2022-08-26,229.0
603,2022-08-27,230.0
604,2022-08-28,222.0
605,2022-08-29,198.0
606,2022-08-30,247.0
607,2022-08-31,237.0
